M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
7001,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7001,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7001,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7403,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7403,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7403,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7403,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7403,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7403,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
6652,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
6652,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
6652,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
6652,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
6652,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
6652,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7754,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7754,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7754,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7754,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7754,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7754,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7350,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7350,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7350,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7350,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7350,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7350,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7212,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7212,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7212,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7212,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7212,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7212,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7724,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7724,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7724,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7724,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7724,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7724,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7463,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7463,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7463,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7463,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7463,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7463,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
